Open,Adj Close,Volume,Company
-1.02563993,3.762896367,-0.535214297,1
-1.1255364,3.674896367,-0.952011734,1
-1.16023728,3.534896367,-0.546337134,1
-1.16023728,3.456896367,-0.587120871,1
-1.191783534,3.546896367,0.455027205,1
-1.128691026,3.532896367,0.33978225,1
-1.144464153,3.516896367,-0.624505964,1
-1.191783534,3.544896367,-0.869826323,1
-1.21281437,3.454896367,-0.897633417,1
-1.195989701,3.426896367,-0.995267213,1
-1.202298952,3.392896367,-0.523473524,1
-1.222278246,3.358896367,-0.342418447,1
-1.202298952,3.416896367,-0.672395959,1
-1.174958865,3.434896367,-0.9618987,1
-1.176010407,3.576896367,-0.939653025,1
-1.138154902,3.570896367,-0.680738087,1
-1.299040797,3.260896367,-0.471257981,1
-1.28326767,3.414896367,-0.690934021,1
-1.213865911,3.384896367,-0.799999622,1
-1.235948289,3.094896367,0.201364717,1
-1.448359732,2.804896367,1.717469256,1
-1.503039905,2.788896367,0.110837179,1
-1.507246073,2.908896367,0.073761054,1
-1.504091447,2.904896367,0.233806326,1
-1.486215237,2.890896367,-0.131393503,1
-1.531431534,2.830896367,0.293746062,1
-1.514606865,2.904896367,0.992939983,1
-1.485163695,2.980896367,-0.707000342,1
-1.507246073,2.904896367,-0.487324302,1
-1.541946952,2.764896367,-0.722139759,1
-1.607142543,2.668896367,0.421349725,1
-1.627121837,2.622896367,-0.083812477,1
-1.591369416,2.714896367,-0.035613514,1
-1.673389677,2.590896367,-0.724302533,1
-1.712296723,2.494896367,-0.748710982,1
-1.827966321,2.258896367,-0.512350686,1
-1.746997602,2.302896367,0.192404654,1
-1.773286147,2.394896367,-0.520383847,1
-1.822708612,2.132896367,-0.21265201,1
-2.068769392,2.020896367,1.137845837,1
-1.937326667,2.270896367,0.131538015,1
-1.87423416,2.132896367,-0.624196996,1
-1.816399361,2.382896367,-0.524709395,1
-1.820605528,2.376896367,0.01227648,1
-1.831120946,2.400896367,-0.666216604,1
-1.917347373,2.104896367,0.129066274,1
-1.824811695,2.322896367,-0.027889322,1
-1.911038123,1.930896367,-0.522855588,1
-2.201263658,1.408896367,1.310558786,1
-2.205469826,1.564896367,-0.109456796,1
-2.390541182,1.216896367,0.06078441,1
-2.156047361,1.828896367,0.361718957,1
-2.148686569,1.766896367,-0.132011439,1
-1.884749578,2.394896367,-0.1304666,1
-1.710193639,2.326896367,-0.372697283,1
-1.8626672,2.220896367,-0.344890189,1
-1.528276909,2.552896367,0.29127432,1
-1.667080426,2.386896367,0.081794214,1
-1.659719633,2.796896367,2.545193743,1
-1.733327559,2.762896367,0.432163594,1
-1.334793218,3.252896367,0.626504282,1
-1.368442556,3.280896367,0.113308921,1
-1.34741172,3.314896367,0.885419221,1
-1.27170071,3.324896367,-0.228100396,1
-1.251721416,3.232896367,-0.098951894,1
-1.192835075,3.642896367,0.195494331,1
-1.022485304,3.640896367,0.384891535,1
-1.088732438,3.728896367,0.330204251,1
-1.0550831,3.722896367,0.453173398,1
-1.028794555,3.984896367,-0.095244282,1
-0.799558444,4.228896367,0.592826802,1
-0.699661973,4.442896367,0.451319592,1
-0.66285801,4.644896367,0.087973569,1
-0.760651397,4.350896367,0.555750677,1
-0.79745536,4.204896367,-0.425221793,1
-0.802713069,4.648896367,2.846746226,1
-0.588198542,4.594896367,0.428147014,1
-0.655497217,4.460896367,0.233497359,1
-0.637621007,4.590896367,0.056149895,1
-0.582940833,4.554896367,-0.279080067,1
-0.634466381,4.386896367,-0.319245869,1
-0.661806468,4.474896367,-0.081031767,1
-0.86790866,3.912896367,0.174175559,1
-0.905764165,4.096896367,-0.423059019,1
-0.922588834,4.078896367,-0.814521104,1
-0.769063731,4.178896367,-0.824099103,1
-0.790094567,4.254896367,0.370370053,1
-0.655497217,4.494896367,0.216195167,1
-0.942568128,3.984896367,1.689662162,1
-0.970959756,3.862896367,-0.518839008,1
-0.819537738,3.988896367,-0.510805848,1
-0.833207781,4.044896367,-0.071453768,1
-0.90260954,4.078896367,-0.588356742,1
-0.860547868,4.102896367,-0.862102131,1
-0.877372536,4.146896367,-0.525636298,1
-0.981475174,3.844896367,-0.11440028,1
-0.956238171,3.954896367,-0.423367987,1
-0.900506456,4.020896367,-0.582177388,1
-0.888939496,4.050896367,-0.410082375,1
-0.911021874,3.894896367,-0.437271534,1
-0.942568128,3.878896367,-0.311521677,1
-1.016176054,3.864896367,-0.048899126,1
-1.044567682,3.792896367,0.095697761,1
-0.960444338,3.986896367,-0.616163836,1
