Open,Adj Close,Volume,Company,Direction,,,Open,Adj Close,Volume,Company
10.88,10.762,1530000,1,0,,,-0.634466381,4.386896367,-0.319245869,1
10.828,10.85,1915500,1,0,,,-0.661806468,4.474896367,-0.081031767,1
10.436,10.288,2328500,1,0,,,-0.86790866,3.912896367,0.174175559,1
10.364,10.472,1362000,1,0,,,-0.905764165,4.096896367,-0.423059019,1
10.332,10.454,728500,1,0,,,-0.922588834,4.078896367,-0.814521104,1
10.624,10.554,713000,1,0,,,-0.769063731,4.178896367,-0.824099103,1
10.584,10.63,2646000,1,0,,,-0.790094567,4.254896367,0.370370053,1
10.84,10.87,2396500,1,0,,,-0.655497217,4.494896367,0.216195167,1
10.294,10.36,4781000,1,0,,,-0.942568128,3.984896367,1.689662162,1
10.24,10.238,1207000,1,0,,,-0.970959756,3.862896367,-0.518839008,1
10.528,10.364,1220000,1,0,,,-0.819537738,3.988896367,-0.510805848,1
10.502,10.42,1931000,1,0,,,-0.833207781,4.044896367,-0.071453768,1
10.37,10.454,1094500,1,0,,,-0.90260954,4.078896367,-0.588356742,1
10.45,10.478,651500,1,0,,,-0.860547868,4.102896367,-0.862102131,1
10.418,10.522,1196000,1,0,,,-0.877372536,4.146896367,-0.525636298,1
10.22,10.22,1861500,1,0,,,-0.981475174,3.844896367,-0.11440028,1
10.268,10.33,1361500,1,0,,,-0.956238171,3.954896367,-0.423367987,1
10.374,10.396,1104500,1,0,,,-0.900506456,4.020896367,-0.582177388,1
10.396,10.426,1383000,1,0,,,-0.888939496,4.050896367,-0.410082375,1
10.354,10.27,1339000,1,0,,,-0.911021874,3.894896367,-0.437271534,1
10.294,10.254,1542500,1,0,,,-0.942568128,3.878896367,-0.311521677,1
10.154,10.24,1967500,1,0,,,-1.016176054,3.864896367,-0.048899126,1
10.1,10.168,2201500,1,0,,,-1.044567682,3.792896367,0.095697761,1
10.26,10.362,1049500,1,0,,,-0.960444338,3.986896367,-0.616163836,1
10.22,10.13,5859000,1,0,,,-0.981475174,3.754896367,2.355796539,1
10.266,10.29,2258000,1,0,,,-0.957289713,3.914896367,0.130611112,1
10.38,10.418,1999000,1,0,,,-0.897351831,4.042896367,-0.02943416,1
10.564,10.544,1947000,1,0,,,-0.800609985,4.168896367,-0.061566802,1
10.29,10.344,2117500,1,0,,,-0.944671211,3.968896367,0.043791186,1
10.4,10.47,1021500,1,0,,,-0.886836413,4.094896367,-0.633466028,1
10.59,10.548,1141500,1,0,,,-0.786939942,4.172896367,-0.559313778,1
10.9,10.77,2150500,1,0,,,-0.623950963,4.394896367,0.064183055,1
11.08,11.08,1176500,1,0,,,-0.529312202,4.704896367,-0.537686038,1
11.004,10.998,1309000,1,0,,,-0.56927079,4.622896367,-0.455809596,1
11.094,11.14,1328000,1,0,,,-0.521951409,4.764896367,-0.444068823,1
11.332,11.486,1711000,1,0,,,-0.396817935,5.110896367,-0.207399559,1
11.676,11.708,1470500,1,0,,,-0.215952746,5.332896367,-0.356013027,1
11.768,11.718,1883000,1,0,,,-0.167581824,5.342896367,-0.101114668,1
11.776,11.7,1549500,1,0,,,-0.163375657,5.324896367,-0.307196129,1
11.54,11.364,3955500,1,0,,,-0.287457589,4.988896367,1.179556478,1
11.46,11.288,7525000,1,0,,,-0.32951926,4.912896367,3.385276939,1
11.22,11.186,5928000,1,0,,,-0.455704276,4.810896367,2.398434083,1
11.36,11.24,1372000,1,0,,,-0.38209635,4.864896367,-0.416879665,1
11.276,11.204,730000,1,0,,,-0.426261106,4.828896367,-0.813594201,1
11.052,11.18,541500,1,0,,,-0.544033787,4.804896367,-0.930075026,1
11.116,11.2,682000,1,0,,,-0.510384449,4.824896367,-0.843255101,1
11.272,11.274,724000,1,0,,,-0.428364189,4.898896367,-0.817301813,1
11.612,11.756,1831000,1,0,,,-0.249602084,5.380896367,-0.13324731,1
11.916,11.93,1149000,1,0,,,-0.089767731,5.554896367,-0.554679262,1
11.526,11.664,982000,1,0,,,-0.294818381,5.288896367,-0.657874476,1
11.498,11.58,840000,1,0,,,-0.309539966,5.204896367,-0.745621305,1
11.554,11.458,868000,1,0,,,-0.280096796,5.082896367,-0.728319114,1
11.32,11.34,957000,1,0,,,-0.403127186,4.964896367,-0.673322862,1
11.22,11.278,1590000,1,0,,,-0.455704276,4.902896367,-0.282169745,1
11.5,11.362,741000,1,0,,,-0.308488424,4.986896367,-0.806796911,1
11.192,11.19,632500,1,0,,,-0.470425861,4.814896367,-0.873842904,1
