Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF
2020-05-04,728500,0,30372900,7778100,3284800,1527500,0,0,2443600,0
2020-05-05,0,957200,36839200,15461900,5060600,0,0,0,0,1300
2020-05-06,2646000,913600,32139300,0,6082900,1363300,0,0,0,0
2020-05-07,2396500,900400,0,8649600,3579000,0,859000,859000,2647100,0
2020-05-08,4781000,957700,0,0,3597800,1314400,0,0,5009800,0
2020-05-11,0,916800,30892700,9285200,2899100,2106600,0,0,4730200,0
2020-05-12,0,0,0,0,0,0,575400,575400,0,0
2020-05-13,0,0,0,8807700,0,0,652200,652200,0,6300
2020-05-14,1094500,1329900,41873900,0,2802800,1165200,0,0,6025700,200
2020-05-15,651500,1241200,46610400,5854200,3268100,1749300,0,0,4853900,56500
2020-05-18,1196000,1976900,0,0,4335100,2692500,0,0,3471400,200
2020-05-19,1861500,0,0,5509700,2517900,3227000,907800,907800,0,100
2020-05-20,1361500,0,31261300,6231100,3530400,7065900,968600,968600,0,200
2020-05-21,1104500,0,0,0,0,0,0,0,5413200,0
2020-05-22,1383000,848700,20826900,5161400,2287300,2233800,0,0,0,700
2020-05-25,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,1021600,1021600,0,0
2020-05-27,0,1524600,39517100,13218600,4978700,5231800,0,0,0,700
2020-05-28,1967500,1606900,33810200,7899000,4752400,2346900,870600,870600,0,0
2020-05-29,2201500,1176800,42130400,11408600,4571900,4593600,0,0,6098200,14500
2020-06-01,1049500,1423600,22622400,4930700,0,1932800,0,0,2425100,0
2020-06-02,0,1420600,30794600,6518500,0,0,762900,762900,4676700,0
2020-06-03,2258000,2723200,27311000,0,0,0,1226700,1226700,3266900,1300
2020-06-04,1999000,0,0,7630000,0,0,0,0,0,0
2020-06-05,0,1274500,39893600,8620300,3355300,3318000,918400,918400,0,0
2020-06-08,2117500,1392600,33211600,6941400,3500100,2954800,0,0,4141200,700
2020-06-09,1021500,986700,29783900,6245200,2346000,0,0,0,2140700,0
2020-06-10,0,1863300,43872300,9106800,3956100,2133100,0,0,3594600,2700
2020-06-11,0,0,0,0,0,0,804100,804100,0,0
2020-06-12,1176500,0,0,5921400,0,0,0,0,0,100
2020-06-15,0,1640100,32770200,6492100,3882600,2109400,0,0,2104300,1300
2020-06-16,1328000,0,42556700,0,0,0,1098400,1098400,0,100
2020-06-17,1711000,1375300,0,12763600,2173300,2006800,0,0,2587600,600
2020-06-18,1470500,0,23061600,7270400,2461100,1108100,0,0,2364300,500
2020-06-19,0,0,0,10388500,0,2896700,0,0,0,0
2020-06-22,0,605900,32818900,0,0,0,0,0,7277000,0
2020-06-23,0,0,0,0,0,1283000,815100,815100,0,0
2020-06-24,0,0,0,0,2208900,0,0,0,0,0
2020-06-25,0,682300,27803900,0,0,0,802100,802100,3143200,0
2020-06-26,0,0,0,0,4905100,3061300,754300,754300,0,0
2020-06-29,0,0,26701600,0,0,0,0,0,2531000,500
2020-06-30,541500,736700,34310300,6535400,0,3111500,0,0,0,0
2020-07-01,682000,1549700,32061200,10187400,3026300,2025400,626100,626100,2695800,300
2020-07-02,724000,0,29315800,0,0,0,0,0,0,200
2020-07-03,0,0,0,0,0,0,0,0,0,0
2020-07-06,1831000,1397500,31897600,6041800,0,2321300,687700,687700,3609900,0
2020-07-07,1149000,0,0,0,1895900,1680200,651100,651100,0,0
2020-07-08,982000,533500,33600000,4863400,0,0,0,0,4969700,100
2020-07-09,840000,949600,0,6005700,2312100,1151600,0,0,0,0
2020-07-10,0,1666900,26177600,6071100,2119800,1313400,1107000,1107000,0,0
2020-07-13,957000,0,0,0,0,0,826600,826600,0,0
2020-07-14,1590000,757600,37591800,4875300,2409300,1284200,0,0,0,0
2020-07-15,0,1985200,0,6994300,2050900,1499600,0,0,0,0
2020-07-16,0,935400,0,4950100,1301700,0,0,0,3036400,0
2020-07-17,650000,1091700,0,0,2040700,0,566300,566300,1377600,300
2020-07-20,0,875000,36884800,5556400,1589700,846500,401900,401900,2399800,0
2020-07-21,0,0,0,0,0,0,555200,555200,0,12100
2020-07-22,0,417000,49605700,2937400,0,717800,0,0,0,0
2020-07-23,0,0,0,0,0,0,0,0,0,0
2020-07-24,0,535500,39827000,4371200,1354100,1641900,0,0,3280200,0
2020-07-27,511000,911200,30160900,3777200,1819200,1144100,586300,586300,3742600,0
2020-07-28,822500,0,0,0,0,0,0,0,0,1100
2020-07-29,1025500,530400,19632600,0,1532800,686600,0,0,2203200,0
2020-07-30,648500,624300,25079600,4034000,2717700,954800,0,0,2107300,0
2020-07-31,0,1112900,51044000,0,0,1762400,0,0,0,0
2020-08-03,1445000,2149700,78983000,8589600,2233800,3615000,682900,682900,3002200,500
2020-08-04,3666000,0,0,0,2680300,4555500,868400,868400,2025400,0
2020-08-05,3224000,0,0,0,1936900,1646300,701800,701800,2474000,1000
2020-08-06,0,0,32656800,0,1671700,1153200,0,0,1856000,1900
2020-08-07,0,0,0,0,0,0,1706200,1706200,0,700
2020-08-10,0,0,0,0,0,0,0,0,9031000,300
2020-08-11,0,0,0,0,0,0,2057700,2057700,0,0
2020-08-12,2239000,1233600,28013100,6198600,1714200,1233900,989500,989500,3888700,700
2020-08-13,751000,1794200,0,0,1191200,784900,920300,920300,0,0
2020-08-14,527000,0,17958900,0,0,1085800,0,0,0,200
2020-08-17,1221500,0,20184800,7091800,1481000,0,426600,426600,2043800,300
2020-08-18,2450000,0,21336200,4479300,1413900,828000,626500,626500,0,600
2020-08-19,2066500,0,0,0,0,0,0,0,0,0
2020-08-20,3953000,1224700,26981500,5604100,1268100,1148900,0,0,1669900,200
