Date,Open,Close,Volume,Company
2020-01-02,59.91,58.650002,5189400,ATVI
2020-01-03,58.029999,58.669998,4466300,ATVI
2020-01-06,58.470001,59.740002,4910800,ATVI
2020-01-07,59.689999,60.34,4920300,ATVI
2020-01-08,60,59.880001,5021500,ATVI
2020-01-09,60.240002,59.34,7766600,ATVI
2020-01-10,59.759998,58.950001,4424300,ATVI
2020-01-13,59.119999,59.240002,4529600,ATVI
2020-01-14,59.580002,60.049999,7310500,ATVI
2020-01-15,60.049999,59.639999,5703200,ATVI
2020-01-16,60,60.43,7185600,ATVI
2020-01-17,60.610001,61.240002,8752800,ATVI
2020-01-21,61,61.419998,6914100,ATVI
2020-01-22,61.650002,60.32,6110200,ATVI
2020-01-23,60.32,60.130001,5297200,ATVI
2020-01-24,60.220001,59.400002,7688800,ATVI
2020-01-27,58.189999,58.32,6420000,ATVI
2020-01-28,58.790001,60.029999,5644300,ATVI
2020-01-29,60.490002,60.400002,4338900,ATVI
2020-01-30,59.919998,60.889999,5287100,ATVI
2020-01-31,60.200001,58.48,8184200,ATVI
2020-02-03,58.639999,58.209999,4825200,ATVI
2020-02-04,58.860001,59.209999,6653700,ATVI
2020-02-05,60.139999,58.849998,5985900,ATVI
2020-02-06,59.189999,60.259998,9591500,ATVI
2020-02-07,61.330002,61.529999,12936000,ATVI
2020-02-10,61.419998,61.630001,5279300,ATVI
2020-02-11,61.93,61.189999,5350300,ATVI
2020-02-12,61.5,62.799999,5244200,ATVI
2020-02-13,62.25,62.59,3642400,ATVI
2020-02-14,62.689999,63.52,4242400,ATVI
2020-02-18,63.360001,63.740002,5317900,ATVI
2020-02-19,64,64.370003,4865900,ATVI
2020-02-20,64.019997,64,4219700,ATVI
2020-02-21,63.82,63.380001,3476700,ATVI
2020-02-24,61.209999,62.310001,6102000,ATVI
2020-02-25,61.799999,59.509998,10451800,ATVI
2020-02-26,59.740002,59.369999,8272700,ATVI
2020-02-27,57.799999,58.330002,9014200,ATVI
2020-02-28,56.290001,58.130001,10456000,ATVI
2020-03-02,58.299999,60.59,9483100,ATVI
2020-03-03,60.560001,58.75,9825900,ATVI
2020-03-04,60,62.549999,7306400,ATVI
2020-03-05,60.779999,61.52,6978500,ATVI
2020-03-06,59.650002,59.970001,9745200,ATVI
2020-03-09,56.599998,57.349998,13169500,ATVI
2020-03-10,59.450001,60.709999,15378100,ATVI
2020-03-11,58.75,59.330002,10530100,ATVI
2020-03-12,55.099998,54.560001,11644200,ATVI
2020-03-13,57,59.040001,9943000,ATVI
2020-03-16,53.110001,52.759998,10456800,ATVI
2020-03-17,53.66,56.16,10799600,ATVI
2020-03-18,53,55.59,14550100,ATVI
2020-03-19,55.619999,54.130001,10151200,ATVI
2020-03-20,55.25,52.049999,12916100,ATVI
2020-03-23,52.810001,56.470001,19601600,ATVI
2020-03-24,58.34,54.43,14885500,ATVI
2020-03-25,55.009998,52.869999,11194700,ATVI
2020-03-26,53.060001,57.720001,9991800,ATVI
2020-03-27,56.549999,56.959999,8513700,ATVI
2020-03-30,58.34,58.470001,9311300,ATVI
2020-03-31,58.040001,59.48,10128800,ATVI
2020-04-01,58,57.5,7315500,ATVI
2020-04-02,58.27,60.779999,8032900,ATVI
2020-04-03,61.259998,59.98,7150300,ATVI
2020-04-06,61.130001,61.599998,10077400,ATVI
2020-04-07,62.529999,59.869999,14929000,ATVI
2020-04-08,60.360001,61.07,7420300,ATVI
2020-04-09,61.279999,60.459999,8404800,ATVI
2020-04-13,60.32,62.75,8054700,ATVI
2020-04-14,63.98,63.279999,7156400,ATVI
2020-04-15,62.630001,65.709999,9411300,ATVI
2020-04-16,66.449997,68.050003,11276000,ATVI
2020-04-17,66.5,66.879997,10942300,ATVI
2020-04-20,66.620003,66.5,5110200,ATVI
2020-04-21,66.239998,65.720001,7782700,ATVI
2020-04-22,66.699997,66.980003,6687200,ATVI
2020-04-23,66.980003,65.879997,5900200,ATVI
2020-04-24,66.07,66.650002,7314300,ATVI
2020-04-27,67.400002,67.059998,6135300,ATVI
2020-04-28,67,63.860001,7912200,ATVI
2020-04-29,64.150002,64.790001,8572600,ATVI
2020-04-30,64.82,63.73,9895100,ATVI
2020-05-01,63.139999,64.720001,5103500,ATVI
2020-05-04,65.330002,66.699997,7778100,ATVI
2020-05-05,67.669998,68.529999,15461900,ATVI
2020-05-06,74,72.870003,21709500,ATVI
2020-05-07,72.309998,73.099998,8649600,ATVI
2020-05-08,73.18,73.139999,6087000,ATVI
2020-05-11,73.059998,75.459999,9285200,ATVI
2020-05-12,75.269997,72.25,8921000,ATVI
2020-05-13,72.510002,73.669998,8807700,ATVI
2020-05-14,73.120003,72.959999,6749100,ATVI
2020-05-15,72.620003,73.919998,5854200,ATVI
2020-05-18,73.860001,72.879997,8492000,ATVI
2020-05-19,72.900002,73.029999,5509700,ATVI
2020-05-20,73.540001,73.779999,6231100,ATVI
2020-05-21,74.360001,72.470001,9522900,ATVI
2020-05-22,73.010002,73.080002,5161400,ATVI
2020-05-26,73.370003,70,11628600,ATVI
2020-05-27,69.290001,70.150002,13218600,ATVI
2020-05-28,70,70.220001,7899000,ATVI
2020-05-29,70.660004,71.980003,11408600,ATVI
2020-06-01,72.190002,72.989998,4930700,ATVI
2020-06-02,72.779999,72.980003,6518500,ATVI
2020-06-03,72.389999,69.919998,10519800,ATVI
2020-06-04,69.5,69.809998,7630000,ATVI
2020-06-05,67.989998,69.43,8620300,ATVI
2020-06-08,68.489998,70.730003,6941400,ATVI
2020-06-09,71.279999,72,6245200,ATVI
2020-06-10,72.379997,73.82,9106800,ATVI
2020-06-11,72.870003,71.279999,7808000,ATVI
2020-06-12,71.5,71.68,5921400,ATVI
2020-06-15,71.480003,73.190002,6492100,ATVI
2020-06-16,74,73,6359000,ATVI
2020-06-17,73.690002,75.529999,12763600,ATVI
2020-06-18,75.989998,76.010002,7270400,ATVI
2020-06-19,76.18,76.580002,10388500,ATVI
2020-06-22,76.669998,76.120003,5243100,ATVI
2020-06-23,76.730003,76.449997,4472200,ATVI
2020-06-24,76.459999,75.580002,7744700,ATVI
2020-06-25,76.610001,76.209999,6157300,ATVI
2020-06-26,76.540001,76.400002,11572500,ATVI
2020-06-29,75.82,75.5,5099400,ATVI
2020-06-30,75.690002,75.900002,6535400,ATVI
2020-07-01,75.449997,78.029999,10187400,ATVI
2020-07-02,78.860001,77.510002,5169300,ATVI
2020-07-06,78.459999,78.669998,6041800,ATVI
2020-07-07,79,78.5,6038800,ATVI
2020-07-08,79.059998,79.279999,4863400,ATVI
2020-07-09,79.93,80.639999,6005700,ATVI
2020-07-10,80.720001,81.269997,6071100,ATVI
2020-07-13,82.010002,77.949997,7437600,ATVI
2020-07-14,76.809998,79.769997,4875300,ATVI
2020-07-15,78.519997,79.150002,6994300,ATVI
2020-07-16,78.879997,79.370003,4950100,ATVI
2020-07-17,79.410004,78.639999,6241500,ATVI
2020-07-20,79.07,81.160004,5556400,ATVI
2020-07-21,81.650002,80.760002,5495800,ATVI
2020-07-22,80.970001,81.099998,2937400,ATVI
2020-07-23,81.489998,79.610001,5963000,ATVI
2020-07-24,79.32,79.989998,4371200,ATVI
2020-07-27,80.599998,81.629997,3777200,ATVI
2020-07-28,81.370003,80.720001,3637100,ATVI
2020-07-29,81.260002,81.199997,2957200,ATVI
2020-07-30,80.599998,81.699997,4034000,ATVI
2020-07-31,82.809998,82.629997,8922500,ATVI
2020-08-03,84.410004,84.790001,8589600,ATVI
2020-08-04,86.769997,86.449997,16110300,ATVI
2020-08-05,84.650002,84.32,12546300,ATVI
2020-08-06,87.550003,86.839996,9586300,ATVI
2020-08-07,84.43,82.470001,9181900,ATVI
2020-08-10,82.43,82.260002,8018200,ATVI
2020-08-11,81.510002,79.120003,9095700,ATVI
2020-08-12,79.580002,81.709999,6198600,ATVI
2020-08-13,82.279999,81.290001,5329100,ATVI
2020-08-14,81.970001,80.400002,9390000,ATVI
2020-08-17,80.970001,81.989998,7091800,ATVI
2020-08-18,82.599998,83.129997,4479300,ATVI
2020-08-19,82.949997,81.980003,5566100,ATVI
2020-08-20,82.019997,84,5604100,ATVI
2020-08-21,84.050003,83.209999,5102000,ATVI
2020-08-24,83.339996,83.099998,4281900,ATVI
2020-08-25,82.93,83.620003,3659000,ATVI
2020-08-26,83.830002,84.480003,7046400,ATVI
2020-08-27,85,83.900002,4221300,ATVI
