Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF,1,2,3,4,5,6,7,8,9,10
2020-02-28,0,0,0,0,0,0,0,0,0,0,3888000.0,2722600.0,97012700.0,10456000.0,7163400.0,6853700.0,3384800.0,0.0,0.0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,2259500.0,2117900.0,71030800.0,9483100.0,6001300.0,4291500.0,2321900.0,1645500.0,1645500.0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
2020-03-04,0,0,0,0,0,0,0,0,0,0,1197500.0,1223800.0,49814400.0,7306400.0,4213600.0,4289700.0,2573300.0,1993200.0,1993200.0,700.0
2020-03-05,0,0,0,0,0,0,0,0,0,0,2066500.0,0.0,47817300.0,6978500.0,6867200.0,3029900.0,2289900.0,0.0,0.0,600.0
2020-03-06,0,0,0,0,0,0,0,0,0,0,968500.0,1165600.0,0.0,9745200.0,0.0,3886200.0,2426100.0,0.0,0.0,1100.0
2020-03-09,0,0,0,0,0,0,0,0,0,0,2255500.0,1374800.0,0.0,13169500.0,0.0,0.0,2388800.0,0.0,0.0,0.0
2020-03-10,0,0,0,0,0,0,0,0,0,0,2001500.0,0.0,65354400.0,15378100.0,0.0,6525600.0,2474300.0,1748800.0,1748800.0,0.0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,10530100.0,0.0,0.0,2212100.0,0.0,0.0,0.0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11802900.0,0.0,0.0,0.0,0.0,200.0
2020-03-13,0,0,0,0,0,0,0,0,0,0,1869500.0,0.0,92727400.0,9943000.0,0.0,0.0,2637100.0,2351200.0,2351200.0,300.0
2020-03-16,0,0,0,0,0,0,0,0,0,0,2145000.0,0.0,0.0,0.0,9104500.0,0.0,2918800.0,0.0,0.0,0.0
2020-03-17,0,0,0,0,0,0,0,0,0,0,2632000.0,1702400.0,81059800.0,10799600.0,8603800.0,6370100.0,2956100.0,2008600.0,2008600.0,200.0
2020-03-18,0,0,0,0,0,0,0,0,0,0,1833000.0,3626500.0,81593200.0,14550100.0,8460300.0,0.0,0.0,0.0,0.0,3000.0
2020-03-19,0,0,0,0,0,0,0,0,0,0,1835500.0,2382900.0,0.0,0.0,7809200.0,0.0,0.0,2845400.0,2845400.0,1000.0
2020-03-20,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
2020-03-23,0,0,0,0,0,0,0,0,0,0,1488500.0,0.0,0.0,19601600.0,8613400.0,8149000.0,2892900.0,1625700.0,1625700.0,0.0
2020-03-24,0,0,0,0,0,0,0,0,0,0,0.0,2281900.0,82516700.0,0.0,11939500.0,0.0,0.0,2435700.0,2435700.0,600.0
2020-03-25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5177200.0,0.0,0.0,1869400.0,1869400.0,0.0
2020-03-26,0,0,0,0,0,0,0,0,0,0,6165500.0,1465400.0,64568100.0,9991800.0,7463400.0,5750300.0,2233700.0,1187900.0,1187900.0,0.0
2020-03-27,0,0,0,0,0,0,0,0,0,0,2746000.0,0.0,0.0,8513700.0,3762200.0,0.0,0.0,1779600.0,1779600.0,0.0
2020-03-30,0,0,0,0,0,0,0,0,0,0,3060500.0,1215200.0,63420300.0,9311300.0,3769000.0,3352700.0,3389300.0,0.0,0.0,2200.0
2020-03-31,0,0,0,0,0,0,0,0,0,0,2230000.0,0.0,0.0,10128800.0,2589900.0,3762300.0,3100400.0,0.0,0.0,700.0
2020-04-01,0,0,0,0,0,0,0,0,0,0,3479500.0,0.0,0.0,0.0,0.0,0.0,3031100.0,0.0,0.0,0.0
2020-04-02,0,0,0,0,0,0,0,0,0,0,1677500.0,1107900.0,49630700.0,8032900.0,3199500.0,3793000.0,1725800.0,0.0,0.0,0.0
2020-04-03,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4084300.0,0.0,1210200.0,1210200.0,200.0
2020-04-06,0,0,0,0,0,0,0,0,0,0,2363000.0,1196800.0,67111700.0,10077400.0,2822300.0,4280200.0,1626900.0,1097700.0,1097700.0,1500.0
2020-04-07,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153000.0,1153000.0,0.0
2020-04-08,0,0,0,0,0,0,0,0,0,0,2581000.0,1112600.0,0.0,7420300.0,3214300.0,0.0,0.0,0.0,0.0,700.0
2020-04-09,0,0,0,0,0,0,0,0,0,0,2780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1461400.0,1461400.0,0.0
2020-04-13,0,0,0,0,0,0,0,0,0,0,1892500.0,0.0,41905300.0,8054700.0,0.0,2680800.0,1641900.0,656800.0,656800.0,0.0
2020-04-14,0,0,0,0,0,0,0,0,0,0,3006000.0,0.0,52874300.0,0.0,3212600.0,2622800.0,0.0,750900.0,750900.0,0.0
